,driving exp,since when are you using electric vehicles?,age,gender,education,income,SoC,queuing time,charging fee
1,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,0,below normal
2,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,0,normal
3,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,0,above normal
4,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,15,below normal
5,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,15,normal
6,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,15,above normal
7,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,30,below normal
8,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,30,normal
9,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,30,above normal
10,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,0,below normal
11,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,0,normal
12,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,0,above normal
13,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,15,below normal
14,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,15,normal
15,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,15,above normal
16,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,30,below normal
17,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,30,normal
18,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,30,above normal
19,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,0,below normal
20,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,0,normal
21,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,0,above normal
22,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,15,below normal
23,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,15,normal
24,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,15,above normal
25,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,30,below normal
26,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,30,normal
27,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,30,above normal
28,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,0,below normal
29,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,0,normal
30,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,0,above normal
31,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,15,below normal
32,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,15,normal
33,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,15,above normal
34,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,30,below normal
35,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,30,normal
36,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,30,above normal
37,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,0,below normal
38,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,0,normal
39,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,0,above normal
40,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,15,below normal
41,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,15,normal
42,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,15,above normal
43,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,30,below normal
44,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,30,normal
45,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,30,above normal
46,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,0,below normal
47,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,0,normal
48,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,0,above normal
49,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,15,below normal
50,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,15,normal
51,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,15,above normal
52,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,30,below normal
53,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,30,normal
54,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,30,above normal
55,5-10 years,2019,18-30,male,high school diploma,average,10-30%,0,below normal
56,5-10 years,2019,18-30,male,high school diploma,average,10-30%,0,normal
57,5-10 years,2019,18-30,male,high school diploma,average,10-30%,0,above normal
58,5-10 years,2019,18-30,male,high school diploma,average,10-30%,15,below normal
59,5-10 years,2019,18-30,male,high school diploma,average,10-30%,15,normal
60,5-10 years,2019,18-30,male,high school diploma,average,10-30%,15,above normal
61,5-10 years,2019,18-30,male,high school diploma,average,10-30%,30,below normal
62,5-10 years,2019,18-30,male,high school diploma,average,10-30%,30,normal
63,5-10 years,2019,18-30,male,high school diploma,average,10-30%,30,above normal
64,5-10 years,2019,18-30,male,high school diploma,average,31-50%,0,below normal
65,5-10 years,2019,18-30,male,high school diploma,average,31-50%,0,normal
66,5-10 years,2019,18-30,male,high school diploma,average,31-50%,0,above normal
67,5-10 years,2019,18-30,male,high school diploma,average,31-50%,15,below normal
68,5-10 years,2019,18-30,male,high school diploma,average,31-50%,15,normal
69,5-10 years,2019,18-30,male,high school diploma,average,31-50%,15,above normal
70,5-10 years,2019,18-30,male,high school diploma,average,31-50%,30,below normal
71,5-10 years,2019,18-30,male,high school diploma,average,31-50%,30,normal
72,5-10 years,2019,18-30,male,high school diploma,average,31-50%,30,above normal
73,5-10 years,2019,18-30,male,high school diploma,average,51-70%,0,below normal
74,5-10 years,2019,18-30,male,high school diploma,average,51-70%,0,normal
75,5-10 years,2019,18-30,male,high school diploma,average,51-70%,0,above normal
76,5-10 years,2019,18-30,male,high school diploma,average,51-70%,15,below normal
77,5-10 years,2019,18-30,male,high school diploma,average,51-70%,15,normal
78,5-10 years,2019,18-30,male,high school diploma,average,51-70%,15,above normal
79,5-10 years,2019,18-30,male,high school diploma,average,51-70%,30,below normal
80,5-10 years,2019,18-30,male,high school diploma,average,51-70%,30,normal
81,5-10 years,2019,18-30,male,high school diploma,average,51-70%,30,above normal
82,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
83,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
84,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
85,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
86,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
87,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
88,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
89,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
90,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
91,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
92,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
93,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
94,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
95,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
96,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
