number,driving exp,since,age,gender,education,income,SoC,distance,charging fee,charge
1,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,short,below normal,0
2,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,short,normal,1
3,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,short,above normal,1
4,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,medium,below normal,1
5,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,medium,normal,0
6,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,medium,above normal,1
7,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,long,below normal,1
8,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,long,normal,1
9,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,long,above normal,1
10,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,short,below normal,1
11,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,short,normal,1
12,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,short,above normal,0
13,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,medium,below normal,1
14,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,medium,normal,1
15,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,medium,above normal,0
16,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,long,below normal,0
17,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,long,normal,1
18,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,long,above normal,0
19,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,short,below normal,1
20,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,short,normal,0
21,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,short,above normal,0
22,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,medium,below normal,0
23,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,medium,normal,0
24,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,medium,above normal,0
25,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,long,below normal,0
26,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,long,normal,0
27,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,long,above normal,0
