Unnamed: 0,driving exp,since,age,gender,education,income,SoC,distance,charging fee,charge,ch
1,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,0,below normal,0.9953833,1
2,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,0,normal,0.9937251,1
3,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,0,above normal,0.8946061,1
4,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,15,below normal,0.9910978,1
5,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,15,normal,0.9874336,1
6,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,15,above normal,0.8852048,1
7,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,30,below normal,0.9771641,1
8,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,30,normal,0.97326624,1
9,1-3 years,2021,above 60,male,below high school diploma,average,10-30%,30,above normal,0.86400026,1
10,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,0,below normal,0.9725797,1
11,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,0,normal,0.9623962,1
12,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,0,above normal,0.37795973,0
13,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,15,below normal,0.94740754,1
14,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,15,normal,0.9206463,1
15,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,15,above normal,0.32163557,0
16,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,30,below normal,0.8979344,1
17,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,30,normal,0.81548494,1
18,1-3 years,2021,above 60,male,below high school diploma,average,31-50%,30,above normal,0.2700608,0
19,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,0,below normal,0.8125118,1
20,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,0,normal,0.5958602,0
21,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,0,above normal,0.04313125,0
22,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,15,below normal,0.6227658,0
23,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,15,normal,0.36057255,0
24,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,15,above normal,0.047402132,0
25,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,30,below normal,0.3860833,0
26,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,30,normal,0.1923463,0
27,1-3 years,2021,above 60,male,below high school diploma,average,51-70%,30,above normal,0.052072935,0
28,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,0,below normal,0.99838674,1
29,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,0,normal,0.9982173,1
30,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,0,above normal,0.96522254,1
31,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,15,below normal,0.9915469,1
32,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,15,normal,0.99151176,1
33,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,15,above normal,0.89213824,1
34,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,30,below normal,0.9600067,1
35,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,30,normal,0.95954794,1
36,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,30,above normal,0.7113915,1
37,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,0,below normal,0.992642,1
38,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,0,normal,0.98946077,1
39,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,0,above normal,0.65697515,0
40,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,15,below normal,0.96420306,1
41,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,15,normal,0.938252,1
42,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,15,above normal,0.36336794,0
43,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,30,below normal,0.8162513,1
44,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,30,normal,0.6829541,0
45,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,30,above normal,0.14536875,0
46,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,0,below normal,0.9407287,1
47,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,0,normal,0.8662852,1
48,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,0,above normal,0.116736524,0
49,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,15,below normal,0.6923128,0
50,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,15,normal,0.5324422,0
51,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,15,above normal,0.037894312,0
52,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,30,below normal,0.25964153,0
53,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,30,normal,0.13899952,0
54,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,30,above normal,0.011601592,0
55,5-10 years,2019,18-30,male,high school diploma,average,10-30%,0,below normal,0.9814964,1
56,5-10 years,2019,18-30,male,high school diploma,average,10-30%,0,normal,0.89147174,1
57,5-10 years,2019,18-30,male,high school diploma,average,10-30%,0,above normal,0.11078854,0
58,5-10 years,2019,18-30,male,high school diploma,average,10-30%,15,below normal,0.94516706,1
59,5-10 years,2019,18-30,male,high school diploma,average,10-30%,15,normal,0.8474466,1
60,5-10 years,2019,18-30,male,high school diploma,average,10-30%,15,above normal,0.06798871,0
61,5-10 years,2019,18-30,male,high school diploma,average,10-30%,30,below normal,0.8455103,1
62,5-10 years,2019,18-30,male,high school diploma,average,10-30%,30,normal,0.64600396,0
63,5-10 years,2019,18-30,male,high school diploma,average,10-30%,30,above normal,0.047467068,0
64,5-10 years,2019,18-30,male,high school diploma,average,31-50%,0,below normal,0.9093482,1
65,5-10 years,2019,18-30,male,high school diploma,average,31-50%,0,normal,0.7045636,1
66,5-10 years,2019,18-30,male,high school diploma,average,31-50%,0,above normal,0.025352519,0
67,5-10 years,2019,18-30,male,high school diploma,average,31-50%,15,below normal,0.7568379,1
68,5-10 years,2019,18-30,male,high school diploma,average,31-50%,15,normal,0.60766524,0
69,5-10 years,2019,18-30,male,high school diploma,average,31-50%,15,above normal,0.019933715,0
70,5-10 years,2019,18-30,male,high school diploma,average,31-50%,30,below normal,0.49128565,0
71,5-10 years,2019,18-30,male,high school diploma,average,31-50%,30,normal,0.35591418,0
72,5-10 years,2019,18-30,male,high school diploma,average,31-50%,30,above normal,0.013703668,0
73,5-10 years,2019,18-30,male,high school diploma,average,51-70%,0,below normal,0.6217783,0
74,5-10 years,2019,18-30,male,high school diploma,average,51-70%,0,normal,0.25608385,0
75,5-10 years,2019,18-30,male,high school diploma,average,51-70%,0,above normal,0.005290886,0
76,5-10 years,2019,18-30,male,high school diploma,average,51-70%,15,below normal,0.35451448,0
77,5-10 years,2019,18-30,male,high school diploma,average,51-70%,15,normal,0.22544439,0
78,5-10 years,2019,18-30,male,high school diploma,average,51-70%,15,above normal,0.004893301,0
79,5-10 years,2019,18-30,male,high school diploma,average,51-70%,30,below normal,0.14560021,0
80,5-10 years,2019,18-30,male,high school diploma,average,51-70%,30,normal,0.09721442,0
81,5-10 years,2019,18-30,male,high school diploma,average,51-70%,30,above normal,0.003858934,0
82,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,0,below normal,0.99849486,1
83,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,0,normal,0.9798696,1
84,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,0,above normal,0.4174211,0
85,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,15,below normal,0.99573416,1
86,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,15,normal,0.9656644,1
87,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,15,above normal,0.2680748,0
88,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,30,below normal,0.98333424,1
89,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,30,normal,0.93496555,1
90,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,30,above normal,0.1576982,0
91,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,0,below normal,0.99394494,1
92,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,0,normal,0.8143076,1
93,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,0,above normal,0.054023385,0
94,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,15,below normal,0.9787715,1
95,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,15,normal,0.6915133,0
96,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,15,above normal,0.028364457,0
97,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,30,below normal,0.8904983,1
98,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,30,normal,0.53398764,0
99,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,30,above normal,0.01470306,0
100,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,0,below normal,0.9343716,1
101,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,0,normal,0.25663486,0
102,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,0,above normal,0.004531175,0
103,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,15,below normal,0.7720251,1
104,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,15,normal,0.14693038,0
105,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,15,above normal,0.003062357,0
106,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,30,below normal,0.4075934,0
107,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,30,normal,0.07912971,0
108,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,30,above normal,0.002944328,0
109,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,0,below normal,0.9932569,1
110,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,0,normal,0.9877879,1
111,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,0,above normal,0.8313608,1
112,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,15,below normal,0.98634213,1
113,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,15,normal,0.97540605,1
114,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,15,above normal,0.7896721,1
115,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,30,below normal,0.93930775,1
116,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,30,normal,0.9267877,1
117,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,30,above normal,0.7408893,1
118,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,0,below normal,0.9531508,1
119,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,0,normal,0.85423535,1
120,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,0,above normal,0.17773294,0
121,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,15,below normal,0.8861208,1
122,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,15,normal,0.6914888,0
123,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,15,above normal,0.14134829,0
124,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,30,below normal,0.71511066,1
125,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,30,normal,0.45484608,0
126,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,30,above normal,0.11140294,0
127,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,0,below normal,0.55851024,0
128,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,0,normal,0.2250826,0
129,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,0,above normal,0.018386183,0
130,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,15,below normal,0.41216922,0
131,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,15,normal,0.13866621,0
132,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,15,above normal,0.021916,0
133,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,30,below normal,0.23497301,0
134,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,30,normal,0.08262094,0
135,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,30,above normal,0.02776169,0
136,less than a year,2020,41-50,male,master's degree,below average,10-30%,0,below normal,0.9992925,1
137,less than a year,2020,41-50,male,master's degree,below average,10-30%,0,normal,0.995773,1
138,less than a year,2020,41-50,male,master's degree,below average,10-30%,0,above normal,0.9026839,1
139,less than a year,2020,41-50,male,master's degree,below average,10-30%,15,below normal,0.99743456,1
140,less than a year,2020,41-50,male,master's degree,below average,10-30%,15,normal,0.9934321,1
141,less than a year,2020,41-50,male,master's degree,below average,10-30%,15,above normal,0.8375219,1
142,less than a year,2020,41-50,male,master's degree,below average,10-30%,30,below normal,0.97309643,1
143,less than a year,2020,41-50,male,master's degree,below average,10-30%,30,normal,0.98587495,1
144,less than a year,2020,41-50,male,master's degree,below average,10-30%,30,above normal,0.65698457,0
145,less than a year,2020,41-50,male,master's degree,below average,31-50%,0,below normal,0.99659497,1
146,less than a year,2020,41-50,male,master's degree,below average,31-50%,0,normal,0.97577876,1
147,less than a year,2020,41-50,male,master's degree,below average,31-50%,0,above normal,0.4455954,0
148,less than a year,2020,41-50,male,master's degree,below average,31-50%,15,below normal,0.9896856,1
149,less than a year,2020,41-50,male,master's degree,below average,31-50%,15,normal,0.95685107,1
150,less than a year,2020,41-50,male,master's degree,below average,31-50%,15,above normal,0.29031953,0
151,less than a year,2020,41-50,male,master's degree,below average,31-50%,30,below normal,0.9164792,1
152,less than a year,2020,41-50,male,master's degree,below average,31-50%,30,normal,0.9132618,1
153,less than a year,2020,41-50,male,master's degree,below average,31-50%,30,above normal,0.16949905,0
154,less than a year,2020,41-50,male,master's degree,below average,51-70%,0,below normal,0.98247206,1
155,less than a year,2020,41-50,male,master's degree,below average,51-70%,0,normal,0.72731787,1
156,less than a year,2020,41-50,male,master's degree,below average,51-70%,0,above normal,0.046897117,0
157,less than a year,2020,41-50,male,master's degree,below average,51-70%,15,below normal,0.930228,1
158,less than a year,2020,41-50,male,master's degree,below average,51-70%,15,normal,0.5709451,0
159,less than a year,2020,41-50,male,master's degree,below average,51-70%,15,above normal,0.023960056,0
160,less than a year,2020,41-50,male,master's degree,below average,51-70%,30,below normal,0.5847852,0
161,less than a year,2020,41-50,male,master's degree,below average,51-70%,30,normal,0.39899826,0
162,less than a year,2020,41-50,male,master's degree,below average,51-70%,30,above normal,0.014420787,0
163,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,0,below normal,0.998164,1
164,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,0,normal,0.9954438,1
165,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,0,above normal,0.96628445,1
166,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,15,below normal,0.99411327,1
167,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,15,normal,0.9854885,1
168,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,15,above normal,0.9466351,1
169,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,30,below normal,0.98085403,1
170,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,30,normal,0.9547688,1
171,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,30,above normal,0.88041127,1
172,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,0,below normal,0.9893462,1
173,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,0,normal,0.9786683,1
174,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,0,above normal,0.8296553,1
175,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,15,below normal,0.96571976,1
